mode,precision,recall,f1,tp,fp,fn
explicit_only (>=1.0),0.617697,0.981773,0.758299,3986,2467,74
implicit_only (==0.5),0.345069,0.221892,0.270100,2617,4967,9177
any_evidence (>=0.5 or 1.0),0.532877,0.471805,0.500485,7480,6557,8374
